obs,exp
108.5,103
122,123
123,119
148.5,134
113.5,118
140,141
151,143
121.5,121
130,132
118.5,120
105.5,109
125,117
117,115
120.5,120
133,125
118.5,117
122,123
114.5,116
148,133
114.5,104
118.5,111
115.5,111
103,103
128,126
129,128
120.5,122
103.5,104
123.5,123
119.5,120
138.5,128
119,114
113.5,117
119,114
161.5,163
123.5,122
164.5,152
127.5,126
147.5,132
122.5,124
121.5,121
123.5,122
128.5,122
122,121
139.5,127
120.5,119
123.5,122
124,123
134.5,128
106.5,108
115.5,119
131.5,123
120,118
121,122
122.5,122
154,139
113.5,114
113,117
122.5,123
114.5,107
133,127
124.5,123
114.5,119
104,99
134.5,132
137,136
145,138
121.5,122
112.5,104
161.5,159
131.5,126
124,127
144.5,149
113.5,108
149.5,144
122.5,122
110,107
122,122
105.5,105
126,124
132.5,125
175.5,173
142.5,130
152.5,134
148.5,147
116.5,118
126.5,127
121.5,120
122.5,123
147.5,140
126.5,127
130.5,127
117.5,115
114.5,113
138.5,142
148.5,137
137,125
139,144
123,125
135,134
99,101
117.5,114
169.5,164
111.5,107
125.5,123
108,105
107,101
119,120
136.5,134
131.5,122
115,112
132,126
120,116
147.5,142
117,120
116.5,109
120,120
130.5,124
98.5,101
92,98
121.5,121
113.5,114
130.5,126
118.5,114
158.5,153
113.5,114
121.5,119
141,133
131,127
124,119
114.5,112
100,108
122.5,123
142,126
158.5,148
134,130
123.5,122
130.5,124
145,130
125,123
133.5,130
134.5,136
145,143
141.5,137
133,126
145.5,140
122.5,122
137,130
121.75,124
158.5,159
120.5,119
129,124
110.5,102
88.5,91
134,128
123,122
126,123
115.5,116
95,97
121,120
116,114
139,136
119.5,121
121.5,122
116,117
123,116
141.5,143
130,133
116,106
114.5,108
154,134
106.5,102
125.5,123
123.5,122
141,136
154,152
135,130
127.5,125
115.5,110
131.5,127
131.5,123
125,129
144,137
116,115
118,118
141,138
132.5,127
109,110
147,134
126,124
121.5,122
121.5,122
156.5,146
118.5,117
115.5,115
132,132
138,134
149.5,157
110,109
153.5,154
149.5,134
117.5,114.5
158.5,158
97.5,101
141.5,135
122,112
161,155
121.5,122
132.5,133
162,150
116,108
107.5,102
153.5,154
169,162
129,123
132.5,124
123,124
120,117
140.25,131
104,104
138,137
111,102
122.5,124
108.5,110
138,132
132.5,127
133,132
119.5,122
109.5,108
122,119
174.5,169
140,137
132,131
116.5,119
120.5,121
128.5,123
145.5,143
143.5,144
122.5,121
132.5,123
121.5,122
126.5,122
120.5,122
160.5,159
117.5,116
112,108
102.5,108
132,120
120,121
123.5,121
118,120
121.5,112.5
131,130
141.5,136
122.5,122
133.5,136
123.5,128
113.5,112
115.5,114
121.5,124
128.5,124
101,99
121.5,121
124,122
99,100
136.5,134
